,NEIGHBORHOOD,ENCODED_VALUE
9131,MIDTOWN EAST,147
9133,MIDTOWN EAST,147
9134,MIDTOWN EAST,147
9137,MIDTOWN EAST,147
9139,MIDTOWN EAST,147
9141,MIDTOWN EAST,147
9142,MIDTOWN EAST,147
9144,MIDTOWN EAST,147
9146,MIDTOWN EAST,147
9147,MIDTOWN EAST,147
9148,MIDTOWN EAST,147
9149,MIDTOWN EAST,147
9150,MIDTOWN EAST,147
9153,MIDTOWN EAST,147
9154,MIDTOWN EAST,147
9155,MIDTOWN EAST,147
9156,MIDTOWN EAST,147
10106,MIDTOWN EAST,147
10107,MIDTOWN EAST,147
10470,MIDTOWN EAST,147
10471,MIDTOWN EAST,147
10472,MIDTOWN EAST,147
10529,MIDTOWN EAST,147
10530,MIDTOWN EAST,147
10533,MIDTOWN EAST,147
10534,MIDTOWN EAST,147
10535,MIDTOWN EAST,147
10536,MIDTOWN EAST,147
10537,MIDTOWN EAST,147
10538,MIDTOWN EAST,147
10539,MIDTOWN EAST,147
10541,MIDTOWN EAST,147
10542,MIDTOWN EAST,147
10543,MIDTOWN EAST,147
10565,MIDTOWN WEST,148
10566,MIDTOWN WEST,148
10567,MIDTOWN WEST,148
10568,MIDTOWN WEST,148
10569,MIDTOWN WEST,148
10570,MIDTOWN WEST,148
10571,MIDTOWN WEST,148
10572,MIDTOWN WEST,148
10573,MIDTOWN WEST,148
10574,MIDTOWN WEST,148
10576,MIDTOWN WEST,148
10577,MIDTOWN WEST,148
10580,MIDTOWN WEST,148
10581,MIDTOWN WEST,148
10582,MIDTOWN WEST,148
10583,MIDTOWN WEST,148
10806,MIDTOWN WEST,148
10812,MIDTOWN WEST,148
10816,MIDTOWN WEST,148
10821,MIDTOWN WEST,148
11437,MIDTOWN WEST,148
11439,MIDTOWN WEST,148
11441,MIDTOWN WEST,148
11442,MIDTOWN WEST,148
11443,MIDTOWN WEST,148
11465,MIDTOWN WEST,148
11466,MIDTOWN WEST,148
11471,MIDTOWN WEST,148
11472,MIDTOWN WEST,148
11473,MIDTOWN WEST,148
11474,MIDTOWN WEST,148
11476,MIDTOWN WEST,148
11478,MIDTOWN WEST,148
11479,MIDTOWN WEST,148
11480,MIDTOWN WEST,148
11481,MIDTOWN WEST,148
11482,MIDTOWN WEST,148
11483,MIDTOWN WEST,148
11491,MIDTOWN WEST,148
11493,MIDTOWN WEST,148
11494,MIDTOWN WEST,148
11495,MIDTOWN WEST,148
11497,MIDTOWN WEST,148
11589,MORNINGSIDE HEIGHTS,151
11590,MORNINGSIDE HEIGHTS,151
11726,MURRAY HILL,156
11727,MURRAY HILL,156
11730,MURRAY HILL,156
11731,MURRAY HILL,156
11732,MURRAY HILL,156
11733,MURRAY HILL,156
11735,MURRAY HILL,156
11736,MURRAY HILL,156
11737,MURRAY HILL,156
11738,MURRAY HILL,156
11740,MURRAY HILL,156
11741,MURRAY HILL,156
11742,MURRAY HILL,156
11743,MURRAY HILL,156
11744,MURRAY HILL,156
11746,MURRAY HILL,156
11747,MURRAY HILL,156
11748,MURRAY HILL,156
11749,MURRAY HILL,156
11750,MURRAY HILL,156
11751,MURRAY HILL,156
11752,MURRAY HILL,156
11753,MURRAY HILL,156
11755,MURRAY HILL,156
11756,MURRAY HILL,156
12541,MURRAY HILL,156
12542,MURRAY HILL,156
12543,MURRAY HILL,156
12544,MURRAY HILL,156
12560,MURRAY HILL,156
12562,MURRAY HILL,156
12563,MURRAY HILL,156
12564,MURRAY HILL,156
12565,MURRAY HILL,156
12566,MURRAY HILL,156
12777,SOHO,204
12778,SOHO,204
12781,SOHO,204
12782,SOHO,204
12783,SOHO,204
12784,SOHO,204
12785,SOHO,204
12786,SOHO,204
12787,SOHO,204
12788,SOHO,204
12789,SOHO,204
12790,SOHO,204
12791,SOHO,204
12792,SOHO,204
12793,SOHO,204
12794,SOHO,204
12795,SOHO,204
12796,SOHO,204
12941,SOHO,204
12942,SOHO,204
13301,SOHO,204
13302,SOHO,204
13303,SOHO,204
13304,SOHO,204
13305,SOHO,204
13306,SOHO,204
13344,SOHO,204
13345,SOHO,204
13346,SOHO,204
13347,SOHO,204
13348,SOHO,204
13349,SOHO,204
13350,SOHO,204
13351,SOHO,204
13352,SOHO,204
13353,SOHO,204
13354,SOHO,204
13355,SOHO,204
13356,SOHO,204
13357,SOHO,204
13358,SOHO,204
13359,SOHO,204
13360,SOHO,204
